Имя пользователя,Ссылка,Время,Текст,Хэштеги
Arslan Markob,@aarlevian,27 мар. 2020 г.,Миф#9 #Коронавирус разработали в лаборатории,#коронавирус
Arslan Markob,@aarlevian,27 мар. 2020 г.,Миф#2 Только пожилые люди в опасности,
Arslan Markob,@aarlevian,27 мар. 2020 г.,Миф#1 #Коронавирус протекает как грипп,#коронавирус
Arslan Markob,@aarlevian,27 мар. 2020 г.,Мы в ,
Thomas Mutschler,@ThomasMutschler,27 мар. 2020 г.,На Львовщине уже почти 120 подозрений на COVID-19 http://tinyurl.com/vqk8wer,
Varianti.lv,@varianti_lv,27 мар. 2020 г.,"Расположенный в Саулкрасты, в новом жилом проекте Sun Republic, апарт-отель Saules Club предлагает всем желающим возможность переждать ситуацию, связанную с вирусом Covid-19, в тихом и спокойном месте.",
Pekвием по РФ #FreeNavalny #НЕТВОЙНЕ,@RuFailedState,27 мар. 2020 г.,"Одна из больниц в Нью-Йорке, которая приняла на себя удар по приёму заболевших COVID-19",
Апостроф,@apostrophe_ua,27 мар. 2020 г.,"По последним данным, число заболевших коронавирусом COVID-19 в мире составило 510 108 человек",
Андрей Роженко,@7926501,27 мар. 2020 г.,Жалкая тварь,
ZdravMedInfo,@ZdravMedInfo,27 мар. 2020 г.,Клиническая больница ГК «Медси» будет принимать пациентов с COVID-19 http://zdravmedinfo.com/mednews.html?article=136160… #новости #медицина,
Виталий Семененко,@vitalsemenenko,27 мар. 2020 г.,Отменен бесплатный проезд в общественном транспорте Москвы,
TortugaFish,@TortugaFish1,27 мар. 2020 г., http://TORTUGA-FISH.RU ,
Агентство ONA,@onanovosti,27 мар. 2020 г.,"Фархада Бадалбейли: ""довольно опасная и трагическая ситуация""",
stariy,@stariy05094643,27 мар. 2020 г.,Появилось видео сильного возмущения из-за COVID-19 https://wildrome.ru/%d0%bf%d0%be%d1%8f%d0%b2%d0%b8%d0%bb%d0%be%d1%81%d1%8c-%d0%b2%d0%b8%d0%b4%d0%b5%d0%be-%d1%81%d0%b8%d0%bb%d1%8c%d0%bd%d0%be%d0%b3%d0%be-%d0%b2%d0%be%d0%b7%d0%bc%d1%83%d1%89%d0%b5%d0%bd%d0%b8%d1%8f/…,
Alexander Vovk,@vovk_alexx,27 мар. 2020 г.,В магазине эпл свет горит но никого нет. Все магазины закрыты кроме продуктовых. #apple #wien #Covid_19 #StayHome,#covid
Твитографоманъ,@Twitographoman,27 мар. 2020 г.,США догоняют Италию и Китай #covid2019 #коронавирус,#covid #коронавирус
Random,@RMKPZ,27 мар. 2020 г.,В Германии украинский дипломат выздоровел от COVID-19  #ДИПЛОМАТ #ЧЕЛОВЕК,
OLVIA,@olviapeople,27 мар. 2020 г.,"Проанализировали контент от ""Протестов в мире"" by ",
covid-19,@bujhtdvx,27 мар. 2020 г.,https://coronavirus-covid-19-monitoring.ru/#news Аргументы и Факты Россия и ещё семь стран призвали генсека ООН отменить санкции  #короновирус #covid-19,#covid #covid-19
Evgenia G (clubochek),@clubochek89,27 мар. 2020 г.,Ну есть счастливчики кого отпустили на след неделю на карантин? ,
Blaxta Boy Official,@BoyBlaxta,27 мар. 2020 г.,Песня про коронавирус https://youtube.com/watch?v=Ar_v3kZDx-A… #Quarantine #карантин #коронавирус #коронавірус,#коронавирус
Фильмы | Новости кино,@Kino_good,27 мар. 2020 г.,Актёр Марк Блум умер после заражения коронавирусом,
Bolotov.RT,@BolotovRT,27 мар. 2020 г.,Из Внуково в Домодедово: ,
KORONAVIRUS ODESSA,@Korona_news2022,27 мар. 2020 г.,"Марк Блум, звезда фильма ""Крокодила Данди"" и сериала ""Клан Сопрано"", умер от коронавируса. Ему было 69 лет . ",
Александр Иванов,@alexandr_iv_rb,27 мар. 2020 г.,"Президент Украины #Зеленский заявил, что из-за пандемии границы будут временно закрыты также и для своих граждан, которые не смогут теперь вернуться домой. В этом суть украинского менталитета. #Коронавирус заставил правительства многих стран состязаться в нарушении прав человека.",#коронавирус
Дмитрий ДОК-резчик по дереву,@dmitrydoc,27 мар. 2020 г.,За чистые улыбки,
Andrey Valenkov,@andrey_valenkov,27 мар. 2020 г.,"Поэтому во многих случаях COVID-19 будет протекать в виде простуды ебаной. Вот поэтому сейчас при появлении соответствующих выделительных симптомов: сопли, покашливание, чихание — важно сидеть дома, или хотя бы носить маску. И не трогать ничего и никого руками в своих выделениях",
