Имя пользователя,Ссылка,Время,Текст,Хэштеги
IBTimes.ru,@IbtimesRUS,28 мая 2020 г.,"""Решили наказать за то, что я заболела"". Заразившиеся COVID-19 медики получают штрафы от московской мэрии",
Марья Дашелова,@MdashelovaN,28 мая 2020 г.,Минздрав решил победить COVID-19 в России статистикой,
STRANA.life,@StranaLife,28 мая 2020 г.,Минздрав решил победить COVID-19 в России статистикой #минздрав #коронавирус #статистика https://strana.life/news/minzdrav_reshil_pobedit_covid_19_v_rossii_statistikoj/2020-05-27-12101…,#коронавирус
СПЕЦРЕПОРТАЖ.KG,@specreportagekg,28 мая 2020 г.,Предстоящая летом жара и COVID-19 увеличивают риски для здоровья людей,
Мета Моторин,@slayersky,28 мая 2020 г.,"Интересно, а почему так усиленно все ваиваются в статистику по covid-19? Лично для человека какая либо подделка ничего не меняет, шансы заразиться одинаковые, умереть одинаковые, метод защиты одинаковый.",
Выбор Народа,@Vybor_naroda,28 мая 2020 г.,Эстония готовится к осеннему рецидиву COVID-19,
Алексей Чернов,@sueta694,28 мая 2020 г.,Twitter,
Коронавирус,@koronavirusbish,28 мая 2020 г.,Предстоящая летом жара и COVID-19 увеличивают риски для здоровья людей,
Лилия Мукулова,@Lilia_Mukulova,28 мая 2020 г.,Что почитать. Ольга Вилар - Падший ангел. Читать на Литмаркет https://litmarket.ru/books/padshiy-angel-1… #сильный герой #ангелы и демоны #харизматичный герой #Corona #COVID19 #coronavirus #staysafe #fantasy,#covid #covid19
K-News,@knews_kg,28 мая 2020 г.,Хатико эпохи коронавируса: Пес ждет у больницы своего умершего от COVID- 19 хозяина,
pagesmoldova,@pagesmoldova,28 мая 2020 г.,У скончавшегося доктора из Сорок было 3 отрицательных теста на COVID-19 https://pages.md/u-skonchavshegosia-doktora-iz-sorok-bilo-3-otricatelnih-testa-na-covid-19/…,
Флегонтов Александр,@flegontov19591,28 мая 2020 г.,Минздрав России назвал главные условия для выписки пациента с COVID-19,
Флегонтов Александр,@flegontov19591,28 мая 2020 г.,COVID-19 опасен: при первых симптомах вызывайте врача - ТИА,
moyby,@moybycom,28 мая 2020 г.,Минчанка с COVID-19 родила дочку и 11 дней была на ИВЛ: «В коме видела мужа» https://goo.gl/fb/LM1Fno,
Ридус,@RidusNews,28 мая 2020 г.,Минздрав РФ утвердил методы ВОЗ по учету смертей от COVID-19,
Jenkers News (RUS),@jenkers_ru,28 мая 2020 г.,#Ефремов посетовал на превращение актеров в дармоедов из-за #коронавирус'а http://jenke.rs/z6IPs1,#коронавирус
Пенза Взгляд / ПВ,@penzavzglyad,28 мая 2020 г.,ИТОГОВАЯ СТАТИСТИКА ПО КОРОНАВИРУСУ В ПЕНЗЕНСКОЙ ОБЛАСТИ ЗА 27 МАЯ,
Maria Zinovieva,@manechka_zi,28 мая 2020 г.,"Приезжаешь в 2 часа ночи в стационар, видишь впереди вереницу из скорых и понимаешь, что вы попали... #COVID19 #emergency #ambulance #medicine #doctor #smp #скоропомощники #коронавируснепройдет",#covid #covid19 #коронавирус
РЕН ТВ | Новости,@rentvchannel,28 мая 2020 г.,Специалисты Роспотребнадзора разработали и утвердили рекомендации для детских оздоровительных организаций по работе в условиях пандемии COVID-19: https://ren.tv/news/v-rossii/703692-kak-budet-organizovan-otdykh-v-detskikh-lageriakh-rossii-v-2020-godu…,
СеверПост,@_SeverPost_,28 мая 2020 г.,На выплаты за работу с COViD-19 медикам в Заполярье начислят «полярки»,
Флегонтов Александр,@flegontov19591,28 мая 2020 г.,Роспотребнадзор утвердил правила профилактики COVID-19,
Белновости,@BelnovostiBy,28 мая 2020 г.,ВОЗ назвала новый эпицентр пандемии COVID-19,
Лилия Мукулова,@Lilia_Mukulova,28 мая 2020 г.,Что почитать. Ольга Вилар - Охотники за золотыми яблочками. Читать на Литмаркет https://litmarket.ru/books/ohotniki-za-zolotymi-yablochkami… #отбор невест #приключения #наги #оставайтесьдома #Corona #COVID19 #coronavirus #staysafe #fantasy,#covid #covid19
Сайт Раменки,@RamenkiZAO,28 мая 2020 г.,Собянин: Столичные клиники увеличат объемы оказания плановой медпомощи,
Сергей Ли,@sergeyli1970,28 мая 2020 г.,взаимен как никогда..и тут и там везде,
Донбасс.Реалии,@donbassrealii,28 мая 2020 г.,В ВОЗ предупреждают о возможном «новом пике» заболеваемости COVID-19 в случае слишком раннего выхода из карантина.,
The Medical Weight Loss,@MedicalWL,28 мая 2020 г.,Минздрав рекомендовал не включать в статистику больных COVID-19 без жалоб https://news.familysouq.net/%d0%bc%d0%b8%d0%bd%d0%b7%d0%b4%d1%80%d0%b0%d0%b2-%d1%80%d0%b5%d0%ba%d0%be%d0%bc%d0%b5%d0%bd%d0%b4%d0%be%d0%b2%d0%b0%d0%bb-%d0%bd%d0%b5-%d0%b2%d0%ba%d0%bb%d1%8e%d1%87%d0%b0%d1%82%d1%8c-%d0%b2-%d1%81/…,
Pekвием по РФ #FreeNavalny #НЕТВОЙНЕ,@RuFailedState,28 мая 2020 г.,Минздрав решил не включать в статистику случаев заражения и смертности от COVID-19 заболевших без жалоб,
ТВТверь - TVTVER,@tvtver,28 мая 2020 г.,"В Тверской области 14,9 млн выделено на проживание, питание и доставку медиков, работающих с COVID-19",
Политическое обозрение,@politobozrenie,28 мая 2020 г.,Красную площадь заразят COVID-19 за две недели до Парада Победы?,
Лилия Мукулова,@Lilia_Mukulova,28 мая 2020 г.,Что почитать. Ольга Вилар - Истинная для эльфа. Читать на Литмаркет https://litmarket.ru/books/istinnaya-dlya-elfa… #истинная пара #эльфы #путешествия и бои #Corona #COVID19 #coronavirus #оставайтесьдома #staysafe #fantasy,#covid #covid19
